0	0	1
0	6	1
0	9	1
0	23	1
0	26	1
0	31	1
1	32	1
1	36	1
1	37	1
1	76	1
1	77	1
1	49	1
1	53	1
1	57	1
1	62	1
2	88	1
2	81	1
2	89	1
2	94	1
3	99	1
3	100	1
3	102	1
3	119	1
4	70	1
4	142	1
4	145	1
4	146	1
4	120	1
5	160	1
5	194	1
5	165	1
5	171	1
5	177	1
5	148	1
5	184	1
5	153	1
5	159	1
6	195	1
6	228	1
6	197	1
6	233	1
6	203	1
6	239	1
6	207	1
6	240	1
6	221	1
7	257	1
7	287	1
7	305	1
7	242	1
7	243	1
7	241	1
7	245	1
7	246	1
7	244	1
7	280	1
7	281	1
7	285	1
7	255	1
8	307	1
8	308	1
8	309	1
8	310	1
9	358	1
9	327	1
9	359	1
9	329	1
9	362	1
9	392	1
9	364	1
9	397	1
9	335	1
9	373	1
9	344	1
9	345	1
9	348	1
9	382	1
9	383	1
10	50	1
10	404	1
10	407	1
10	410	1
10	415	1
11	480	1
11	481	1
11	449	1
11	446	1
11	447	1
11	461	1
11	464	1
11	434	1
11	467	1
11	444	1
11	476	1
11	477	1
11	478	1
11	479	1
12	483	1
12	485	1
12	486	1
12	487	1
13	514	1
13	515	1
13	516	1
13	517	1
14	536	1
14	537	1
14	525	1
14	526	1
15	546	1
15	550	1
15	555	1
15	557	1
15	541	1
16	498	1
16	491	1
16	578	1
16	574	1
17	613	1
17	614	1
17	622	1
17	623	1
17	592	1
17	625	1
17	627	1
17	628	1
17	629	1
17	631	1
18	655	1
18	656	1
18	632	1
18	635	1
18	636	1
19	668	1
19	669	1
19	670	1
19	671	1
20	688	1
20	689	1
20	691	1
20	681	1
21	713	1
21	698	1
21	709	1
21	711	1
22	714	1
22	731	1
22	732	1
22	733	1
23	737	1
23	739	1
23	742	1
23	776	1
23	777	1
23	778	1
23	779	1
23	749	1
23	758	1
24	800	1
24	801	1
24	788	1
24	799	1
25	802	1
25	803	1
25	805	1
25	806	1
26	867	1
26	868	1
26	838	1
26	839	1
26	846	1
26	822	1
26	823	1
26	826	1
26	831	1
27	897	1
27	873	1
27	876	1
27	912	1
27	881	1
27	882	1
27	916	1
27	884	1
27	888	1
27	891	1
28	68	1
28	937	1
28	938	1
28	920	1
28	922	1
29	994	1
29	965	1
29	968	1
29	970	1
29	971	1
29	973	1
29	1006	1
29	1005	1
29	976	1
29	979	1
29	948	1
29	952	1
29	985	1
30	1025	1
30	1026	1
30	1018	1
30	1019	1
31	1029	1
31	1033	1
31	1035	1
31	118	1
31	1048	1
32	1061	1
32	1062	1
32	1064	1
32	1065	1
32	1070	1
33	1158	1
33	9	1
33	1164	1
33	1171	1
33	1172	1
